OT,FR,AA,IR,RU,O,ICA,PT,ICC,AL,CL,MT,EW,CD17
80,60,25,0,83.55,16.45,0.529163071,30,0.527243831,2.5065,0.21,125,1100,0.286
90,4,5,44.62645268,10.06087438,5.312672939,0.176470588,40,0.388888889,0.4,0.1,50,980,2.14919
30,60,25,0,75.66401816,24.33598184,1.14838301,0,0.853256179,2.269920545,0.7,125,1100,0.22061
64,2,25,85.52915767,0,14.47084233,0.446643758,64.29533761,0.265617659,2.138228942,0.8,175,1100,0.8343
80,5,5,75,0,17.61955664,0.25,45.8,0.25,1.75,0.2,50,1100,1.72045
80,75,50,100,0,0,0,100,0,0.5,0.25,125,1100,1.64666
90,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,120,910.8087456,1.14499
50,300,25,85.52915767,0,14.47084233,0.15,100,0.15,0.085529158,0,175,1100,0.46303
80,20,5,74.37742114,16.76812396,8.854454898,0.16033089,100,0.129656041,2.734366353,3,125,1100,2.059
70,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.1,90,1000,1.6577
130,40.22818585,4,51.42857143,0,24.59807287,0.176470588,100,0.176470588,0.462857143,0.5,175,1100,1.09161
80,20,5,74.37742114,16.76812396,8.854454898,0.171025803,100,0.14081996,2.734366353,3,125,1100,2.71
100,75,50,100,0,0,0,100,0,1,0.25,50,825,2.39871
80,40,4,85.52915767,0,14.47084233,0.22,60,1,1.282937365,0.3,125,1100,1.00331
80,40,1,85.52915767,0,14.47084233,0.25,0,2,1.5,0,50,1100,0.14066
70,73.67296446,25,85.52915767,0,14.47084233,0.326579634,100,0.303370427,0.855291577,0.3,175,1100,0.83648
120,2,4.570086079,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1107.432325,0.85818
